username,rating,max_rating,rank,total_solved,hard_solved,top_tags,top_languages,contests
olasiliksizci,1997,1997,candidate master,641,134,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C# 8,C++20 (GCC 11-64)",61
AAR_From_Cu,359,425,newbie,30,11,"greedy,math,dp,constructive algorithms,sortings","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",2
chenmohan201068,1914,1914,candidate master,500,135,"implementation,greedy,math,brute force,data structures","C++14 (GCC 6-32),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",52
eargle,1587,1601,specialist,675,192,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",63
SAMEZ.,1724,1724,expert,475,97,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64)",55
platter,2817,2900,international grandmaster,717,333,"greedy,math,constructive algorithms,dp,data structures","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",110
LittleOrange666,2404,2474,grandmaster,596,214,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 13-64),C++20 (GCC 11-64),C++23 (GCC 14-64, msys2)",40
mhnd01s,1433,1478,specialist,719,259,"math,greedy,dp,implementation,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",132
piee,1770,1770,expert,399,74,"implementation,math,greedy,brute force,dp",C++20 (GCC 13-64),8
Heciao,1481,1481,specialist,50,2,"dp,greedy,math,implementation,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",9
Mohammed_Rabei,1487,1646,specialist,590,69,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",60
liympanda,2646,2790,international grandmaster,1018,372,"greedy,math,implementation,brute force,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64)",142
Aammin,1378,1468,pupil,211,57,"greedy,math,implementation,dp,constructive algorithms","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",38
ConNuoiAnhThai,2305,2305,international master,73,33,"greedy,math,implementation,brute force,dp","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",6
1OMAR1,1374,1412,pupil,642,62,"greedy,math,implementation,brute force,sortings","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",49
rahul_patil_30,1166,1208,newbie,335,45,"greedy,math,brute force,implementation,constructive algorithms","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",13
io.sakshamgupta,1481,1481,specialist,186,0,"implementation,math,greedy,strings,brute force","C++17 (GCC 7-32),Kotlin 1.7",12
DreamMoon04,1409,1409,specialist,30,1,"math,greedy,implementation,brute force,strings","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",7
harsh__h,2167,2369,master,692,300,"greedy,math,constructive algorithms,dp,brute force","C++20 (GCC 11-64),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",225
PaperCloud,2186,2304,master,630,154,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",56
Parkkkkkcw,1680,1682,expert,188,35,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),PyPy 3-64",38
BaoJiaoPisu,2469,2562,grandmaster,613,332,"greedy,math,dp,data structures,constructive algorithms","C++20 (GCC 11-64),C++20 (GCC 13-64),C++17 (GCC 7-32)",63
bary,1959,2146,candidate master,600,392,"greedy,math,dp,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",197
fini_keksi,1776,1776,expert,435,97,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),GNU C11",50
ColGate10,1496,1496,specialist,78,4,"greedy,math,constructive algorithms,implementation,brute force",C++17 (GCC 7-32),22
Huasushis,1914,1931,candidate master,226,126,"greedy,math,dp,implementation,constructive algorithms","C++14 (GCC 6-32),C++20 (GCC 13-64),C++17 (GCC 7-32)",10
Tiangong_SpS,1686,1686,expert,56,17,"greedy,math,constructive algorithms,implementation,dp","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",13
zfs732,2470,2470,grandmaster,762,717,"dp,data structures,greedy,math,trees","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",49
chuanze0831,,,,0,0,,,0
layston,1393,1393,pupil,289,11,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",36
CXPapy,1893,1942,expert,285,99,"greedy,math,brute force,implementation,constructive algorithms","C++17 (GCC 7-32),C++17 (GCC 9-64),C++23 (GCC 14-64, msys2)",28
log1plusx,1797,1797,expert,29,9,"greedy,math,constructive algorithms,brute force,implementation",C++17 (GCC 7-32),6
